participant_id,level_name,initial_match,game_batch,final_matchsum,final_matchcount
669eacb7722c8,level_B,1,5,18,18
669eacb8172fb,level_B,0,16,2,7
669eacb8172fb,level_B,1,16,17,17
669eacbe6f7e5,level_C,0,12,1,2
669eacbe6f7e5,level_C,1,12,18,22
669eaccdb6b0b,level_C,0,10,1,3
669eaccdb6b0b,level_C,1,10,19,21
669eace1391f7,level_C,0,0,0,1
669eace1391f7,level_C,1,0,22,23
669eace2f27e2,level_B,0,4,4,7
669eace2f27e2,level_B,1,4,17,17
669ead14dc3e6,level_A,0,19,0,5
669ead14dc3e6,level_A,1,19,19,19
669ead2fe87fa,level_C,0,8,0,1
669ead2fe87fa,level_C,1,8,22,23
669ead3681eaf,level_B,0,9,2,8
669ead3681eaf,level_B,1,9,16,16
669ead61542a1,level_C,0,17,3,14
669ead61542a1,level_C,1,17,10,10
669ead6245c74,level_C,0,3,0,1
669ead6245c74,level_C,1,3,21,23
669ead6ac54e0,level_C,0,14,3,4
669ead6ac54e0,level_C,1,14,19,20
669ead8b8f546,level_C,0,6,3,9
669ead8b8f546,level_C,1,6,14,15
669eadc165257,level_B,0,18,1,8
669eadc165257,level_B,1,18,15,16
669eadd64bcba,level_A,0,16,4,6
669eadd64bcba,level_A,1,16,16,18
669eade90fb77,level_B,0,1,6,10
669eade90fb77,level_B,1,1,14,14
669eae0164379,level_A,0,0,0,7
669eae0164379,level_A,1,0,16,17
669eae4c32702,level_A,0,9,3,5
669eae4c32702,level_A,1,9,19,19
669eae4ff2c89,level_B,0,12,0,5
669eae4ff2c89,level_B,1,12,19,19
669eae70d11eb,level_B,0,7,2,8
669eae70d11eb,level_B,1,7,16,16
669eae9979578,level_B,0,15,0,8
669eae9979578,level_B,1,15,14,16
669eaeba5962d,level_C,0,9,2,4
669eaeba5962d,level_C,1,9,19,20
669eaec945718,level_C,0,16,1,2
669eaec945718,level_C,1,16,19,22
669eaf21675d0,level_C,0,17,0,3
669eaf21675d0,level_C,1,17,20,21
669eaf2c88695,level_B,0,10,0,6
669eaf2c88695,level_B,1,10,16,18
669eaf5200483,level_C,0,5,7,13
669eaf5200483,level_C,1,5,10,11
669eaf5498aa3,level_C,0,19,10,12
669eaf5498aa3,level_C,1,19,8,12
669eaf7404e0f,level_C,0,12,2,3
669eaf7404e0f,level_C,1,12,18,21
669eafb57ce2b,level_C,0,15,8,9
669eafb57ce2b,level_C,1,15,13,15
669eb0537a5fa,level_C,0,14,1,1
669eb0537a5fa,level_C,1,14,23,23
669eb0567b190,level_C,0,18,2,3
669eb0567b190,level_C,1,18,20,21
669eb0df4dec4,level_A,0,11,4,6
669eb0df4dec4,level_A,1,11,18,18
669eb0f083557,level_B,0,4,5,11
669eb0f083557,level_B,1,4,11,13
669eb1d4524b7,level_C,0,18,2,3
669eb1d4524b7,level_C,1,18,19,21
669eb218d9979,level_C,0,10,2,3
669eb218d9979,level_C,1,10,17,21
669eb2c571ba7,level_A,0,3,2,6
669eb2c571ba7,level_A,1,3,18,18
669eb3c2ea5ec,level_B,0,6,0,6
669eb3c2ea5ec,level_B,1,6,18,18
669eb3d0c00b6,level_C,0,11,5,12
669eb3d0c00b6,level_C,1,11,12,12
669eb3e9a7081,level_B,0,11,4,8
669eb3e9a7081,level_B,1,11,15,16
669eb5c63a8f6,level_C,0,15,0,3
669eb5c63a8f6,level_C,1,15,21,21
669eb60b380ad,level_B,0,11,1,8
669eb60b380ad,level_B,1,11,16,16
669eb9dcaaf4e,level_A,0,5,2,4
669eb9dcaaf4e,level_A,1,5,19,20
669ebbf08797d,level_A,0,1,0,6
669ebbf08797d,level_A,1,1,17,18
66a10dfbbd15c,level_B_cal,0,0,1,7
66a10dfbbd15c,level_B_cal,1,0,13,17
66a10f886dd96,level_B_cal,0,1,3,7
66a10f886dd96,level_B_cal,1,1,17,17
66a11098dce3a,level_B_cal,0,2,2,7
66a11098dce3a,level_B_cal,1,2,17,17
66a112e2edb6b,level_B_cal,0,10,1,4
66a112e2edb6b,level_B_cal,1,10,19,20
66a11314405dc,level_B_cal,0,6,1,4
66a11314405dc,level_B_cal,1,6,18,20
66a1133b6f8cb,level_B_cal,0,3,4,8
66a1133b6f8cb,level_B_cal,1,3,16,16
66a1140a6fc19,level_B_cal,0,14,2,5
66a1140a6fc19,level_B_cal,1,14,18,19
66a114b0d2015,level_B_cal,0,16,1,7
66a114b0d2015,level_B_cal,1,16,17,17
66a114babee43,level_B_cal,0,15,0,8
66a114babee43,level_B_cal,1,15,16,16
66a114c8083ce,level_B_cal,0,9,2,7
66a114c8083ce,level_B_cal,1,9,16,17
66a1154ea6d29,level_B_cal,0,12,0,5
66a1154ea6d29,level_B_cal,1,12,19,19
66a115d14f227,level_B_cal,0,19,3,5
66a115d14f227,level_B_cal,1,19,18,19
66a115d469897,level_B_cal,0,18,3,8
66a115d469897,level_B_cal,1,18,16,16
66a1160c36568,level_B_cal,0,20,0,6
66a1160c36568,level_B_cal,1,20,16,18
66a116bdaeeae,level_B_cal,0,11,1,5
66a116bdaeeae,level_B_cal,1,11,19,19
66a1174d11203,level_B_cal,0,26,3,8
66a1174d11203,level_B_cal,1,26,16,16
66a1175155bd2,level_B_cal,0,39,0,4
66a1175155bd2,level_B_cal,1,39,20,20
66a1175acf0a3,level_B_cal,0,23,0,4
66a1175acf0a3,level_B_cal,1,23,18,20
66a11793f3fce,level_B_cal,0,33,2,8
66a11793f3fce,level_B_cal,1,33,15,16
66a117967207f,level_B_cal,0,37,4,7
66a117967207f,level_B_cal,1,37,16,17
66a117969665d,level_B_cal,0,25,4,10
66a117969665d,level_B_cal,1,25,14,14
66a117aaf343d,level_B_cal,0,28,1,7
66a117aaf343d,level_B_cal,1,28,17,17
66a117b94ca3e,level_B_cal,0,35,0,6
66a117b94ca3e,level_B_cal,1,35,18,18
66a117f87e84c,level_B_cal,0,54,3,5
66a117f87e84c,level_B_cal,1,54,19,19
66a11805c1ace,level_B_cal,0,53,1,7
66a11805c1ace,level_B_cal,1,53,17,17
66a11809e82c6,level_B_cal,0,50,2,6
66a11809e82c6,level_B_cal,1,50,17,18
66a1181806d58,level_B_cal,0,36,1,5
66a1181806d58,level_B_cal,1,36,19,19
66a1184ce3334,level_B_cal,0,42,2,11
66a1184ce3334,level_B_cal,1,42,13,13
66a1187b4b0a4,level_B_cal,0,17,2,7
66a1187b4b0a4,level_B_cal,1,17,16,17
66a118943197c,level_B_cal,0,27,2,7
66a118943197c,level_B_cal,1,27,15,17
66a118afe87f6,level_B_cal,0,2,1,7
66a118afe87f6,level_B_cal,1,2,17,17
66a118ddadb9e,level_B_cal,0,56,0,7
66a118ddadb9e,level_B_cal,1,56,17,17
66a118e1a2e1b,level_B_cal,0,51,4,7
66a118e1a2e1b,level_B_cal,1,51,17,17
66a118e938f2e,level_B_cal,0,0,2,6
66a118e938f2e,level_B_cal,1,0,18,18
66a11949cb578,level_B_cal,0,30,5,8
66a11949cb578,level_B_cal,1,30,15,16
66a11973bbd32,level_B_cal,0,47,5,7
66a11973bbd32,level_B_cal,1,47,16,17
66a119a9894ac,level_B_cal,0,7,6,12
66a119a9894ac,level_B_cal,1,7,10,12
66a119e78c4a0,level_B_cal,0,44,4,9
66a119e78c4a0,level_B_cal,1,44,13,15
66a119f086c14,level_B_cal,0,11,1,7
66a119f086c14,level_B_cal,1,11,17,17
66a119f95a2f0,level_B_cal,0,38,1,7
66a119f95a2f0,level_B_cal,1,38,17,17
66a11a19a71e2,level_B_cal,0,46,2,6
66a11a19a71e2,level_B_cal,1,46,18,18
66a11a1ccc434,level_B_cal,0,58,0,9
66a11a1ccc434,level_B_cal,1,58,15,15
66a11a685ed14,level_B_cal,0,49,5,9
66a11a685ed14,level_B_cal,1,49,15,15
66a11a6d9d165,level_B_cal,0,13,4,10
66a11a6d9d165,level_B_cal,1,13,13,14
66a11acc6b25a,level_B_cal,0,15,3,7
